company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Hyundai,Grand i10 1.2 Kappa Sportz Option AT,550000.0,40000,Petrol,Automatic,3rd Owner,2019-09-15,1197,5
Hyundai,Verna CRDi 1.6 SX,951000.0,58000,Diesel,Manual,1st Owner,2018-09-11,1582,5
Toyota,Innova Crysta 2.8 ZX AT BSIV,1989999.9999999998,75000,Diesel,Automatic,2nd Owner,2019-05-01,2755,7
Land,Rover Discovery Sport TD4 HSE 7S,3550000.0,72000,Diesel,Automatic,1st Owner,2018-02-26,1999,7
Ford,Aspire 1.2 Ti-VCT Titanium,550000.0,23400,Petrol,Manual,1st Owner,2017-03-05,1196,5
Ford,Aspire 1.2 Ti-VCT Ambiente,390000.0,59300,Petrol,Manual,1st Owner,2017-05-30,1196,5
Hyundai,Creta 1.4 CRDi S,890000.0,72000,Diesel,Manual,1st Owner,2016-11-13,1396,5
Maruti,Swift Dzire LDI,451000.0,67000,Diesel,Manual,1st Owner,2017-08-13,1248,5
Honda,Amaze S CVT i-VTEC,725000.0,33500,Petrol,Automatic,1st Owner,2018-01-13,1199,5
Hyundai,Creta SX Executive,1275000.0,17000,Petrol,Manual,2nd Owner,2021-02-02,1497,5
Volkswagen,Ameo 1.5 TDI Highline AT,690000.0,33000,Diesel,Automatic,1st Owner,2016-10-13,1498,5
Volkswagen,Polo GT TSI,675000.0,49000,Petrol,Automatic,1st Owner,2015-06-10,1197,5
Hyundai,Grand i10 AT Asta,565000.0,26000,Petrol,Automatic,1st Owner,2015-01-27,1197,5
Hyundai,Venue SX Opt iMT,1000000.0,14500,Petrol,Manual,1st Owner,2020-03-28,998,5
Kia,Seltos GTX Plus AT D,1975000.0,10000,Diesel,Automatic,1st Owner,2022-04-07,1493,5
MG,Hector Plus Sharp DCT,1700000.0,15001,Petrol,Automatic,1st Owner,2020-05-29,1451,6
Skoda,Octavia Elegance 1.8 TSI AT,975000.0,55000,Petrol,Automatic,2nd Owner,2015-09-22,1798,5
Toyota,Corolla Altis G,650000.0,38000,Petrol,Manual,1st Owner,2013-07-15,1798,5
Honda,Amaze S AT i-Vtech,475000.0,65413,Petrol,Automatic,1st Owner,2013-02-23,1198,5
Honda,Jazz Mode,280000.0,45000,Petrol,Manual,2nd Owner,2009-03-02,1198,5
Ford,Figo 1.2P Trend MT,430000.0,44000,Petrol,Manual,1st Owner,2017-03-22,1196,5
